actor_name,algorithm,braking_fraction,circuit_identity,circuit_seed,circuit_split,curvature_bin,lower_curvature,mean_absolute_steering,mean_speed,mean_throttle,observation_type,outcome,root_identity,run_id,sample_count,training_interactions,upper_curvature
large,reinforce,0.4230769230769231,0,0,development,curve_1,0.0,0.48418034168230567,15.03296200301204,0.10793336872109115,frenet,completed,3,reinforce-large-frenet-seed-3,286,2000000,0.05485719880639534
large,reinforce,0.2146118721461187,0,0,development,curve_2,0.05485719880639534,0.6921891082316365,12.740460646974906,0.334830568282074,frenet,completed,3,reinforce-large-frenet-seed-3,219,2000000,0.08331733356806285
large,reinforce,0.2622478386167147,0,0,development,straight,0.0,0.2746950783112599,16.10239117586593,0.3796686465860014,frenet,completed,4,reinforce-large-frenet-seed-4,347,2000000,1e-08
large,reinforce,0.26104417670682734,0,0,development,curve_1,0.0,0.29681259521982634,16.874097557228026,0.33569791097283724,frenet,completed,4,reinforce-large-frenet-seed-4,249,2000000,0.05485719880639534
large,reinforce,0.5297297297297298,0,0,development,curve_2,0.05485719880639534,0.529381215081525,16.45728114681499,-0.04855378083507153,frenet,completed,4,reinforce-large-frenet-seed-4,185,2000000,0.08331733356806285
medium,reinforce,0.3875,0,0,development,straight,0.0,0.16208233690995258,17.2627021815615,0.20814629454980604,frenet,completed,0,reinforce-medium-frenet-seed-0,320,2000000,1e-08
medium,reinforce,0.2927927927927928,0,0,development,curve_1,0.0,0.26420116836052004,18.692601881660945,0.12693515819967263,frenet,completed,0,reinforce-medium-frenet-seed-0,222,2000000,0.05485719880639534
medium,reinforce,0.16666666666666666,0,0,development,curve_2,0.05485719880639534,0.5502923158393509,18.254896587577047,0.19209698058568456,frenet,completed,0,reinforce-medium-frenet-seed-0,174,2000000,0.08331733356806285
medium,reinforce,0.2191358024691358,0,0,development,straight,0.0,0.14314777905302536,17.075489001443298,0.23614832870288532,frenet,completed,1,reinforce-medium-frenet-seed-1,324,2000000,1e-08
medium,reinforce,0.37551020408163266,0,0,development,curve_1,0.0,0.22344819840568841,17.941028104862976,0.11781620119166161,frenet,completed,1,reinforce-medium-frenet-seed-1,245,2000000,0.05485719880639534
medium,reinforce,0.18716577540106952,0,0,development,curve_2,0.05485719880639534,0.40922698962258147,15.50218630727844,0.19136303342520233,frenet,completed,1,reinforce-medium-frenet-seed-1,187,2000000,0.08331733356806285
